Celsius,Fahrenheit
10.52,50.94
33.62,92.52
5.12,41.22
34.62,94.32
14.49,58.08
-13.54,7.63
27.58,81.64
41.32,106.38
44.27,111.69
48.6,119.48
6.47,43.65
31.14,88.05
35.54,95.97
-2.3,27.86
17.5,63.5
24.55,76.19
-18.9,-2.02
-10.68,12.78
31.59,88.86
-13.1,8.42
28.76,83.77
23.68,74.62
46.74,116.13
-12.46,9.57
9.14,48.45
18.94,66.09
-11.47,11.35
40.61,105.1
-3.84,25.09
47.84,118.11
41.86,107.35
-19.96,-3.93
41.94,107.49
49.64,121.35
38.71,101.68
21.5,70.7
5.45,41.81
10.11,50.2
16.56,61.81
19.68,67.42
-10.69,12.76
-16.3,2.66
49.07,120.33
-2.75,27.05
13.06,55.51
42.53,108.55
5.81,42.46
-9.85,14.27
39.25,102.65
-12.78,9.0
48.49,119.28
36.86,98.35
45.66,114.19
7.63,45.73
8.29,46.92
-0.57,30.97
24.73,76.51
-3.94,24.91
20.46,68.83
-2.89,26.8
27.0,80.6
-4.58,23.76
0.87,33.57
-6.52,20.26
0.58,33.04
21.89,71.4
6.4,43.52
42.85,109.13
17.88,64.18
19.86,67.75
-4.23,24.39
4.71,40.48
28.02,82.44
40.51,104.92
45.77,114.39
24.71,76.48
-17.93,-0.27
28.71,83.68
9.6,49.28
49.66,121.39
3.62,38.52
25.42,77.76
19.53,67.15
33.95,93.11
27.16,80.89
-5.62,21.88
0.08,32.14
-3.94,24.91
19.08,66.34
22.56,72.61
7.39,45.3
26.9,80.42
12.3,54.14
7.86,46.15
-19.39,-2.9
36.85,98.33
41.57,106.83
9.71,49.48
49.78,121.6
34.68,94.42
34.84,94.71
-17.97,-0.35
-5.36,22.35
-5.85,21.47
11.07,51.93
47.25,117.05
41.38,106.48
14.03,57.25
30.28,86.5
0.9,33.62
-9.14,15.55
23.5,74.3
-5.64,21.85
-5.99,21.22
48.0,118.4
3.18,37.72
38.77,101.79
38.27,100.89
-18.76,-1.77
35.4,95.72
47.45,117.41
1.36,34.45
-18.07,-0.53
5.22,41.4
22.3,72.14
27.32,81.18
1.6,34.88
12.35,54.23
45.33,113.59
0.69,33.24
-16.13,2.97
13.45,56.21
38.08,100.54
27.26,81.07
37.51,99.52
